Statement,Ruling,Economics (T/F)
Trump hints stock market record high linked to optimism about his presidency,Mostly True,T
Is news media less trusted than Congress?,Mostly False,F
Trump's flip-flop on leaks and the release of secret information,Full Flop,F
Benjamin Netanyahu largely correct on Iranian missiles with Hebrew-language threats,Mostly True,F
"West Virginia uninsured rate has declined, though not as fast as Bernie Sanders said",Mostly True,F
Did court find no indication of terrorism from seven nations in Trump order?,Mostly False,F
"Arkansas senator says of 1 million green cards issued, few are employment-based",Mostly True,T
"Border fence in Israel cut illegal immigration by 99 percent, GOP senator says",Mostly True,F
Donald Trump says refugee admissions surged from 7 countries during suspension of executive order,Mostly True,F
White House senior adviser repeats baseless claim about busing illegal voters in New Hampshire,Pants on Fire!,F
Donald Trump wrongly says CNN cut off Bernie Sanders for calling network 'fake news',False,F
"Sanders said Obama's SCOTUS nominees 'required' 60 votes, but it's more complicated",Half-True,F
Trump wrong on  Sen. Blumenthal's CNN interview and Vietnam,False,F
Senate Republicans did not use Rule 19 when Ted Cruz attacked Mitch McConnell,Mostly True,F
Donald Trump wrong that murder rate is highest in 47 years,False,F
Donald Trump wrong to say Kuwait followed his lead on visa ban,Mostly False,F
No proof ISIS leaders using Donald Trump's travel ban for recruitment,Mostly False,F
Donald Trump wrong that media is not reporting on terrorism any more,Pants on Fire!,F
"President Trump says 109 people were affected by travel ban. It's at least 60,000",False,F
Fact-checking Kellyanne Conway on the 'Bowling Green massacre',False,F
Kellyanne Conway wrongly says this is longest the U.S. has gone without a Treasury secretary,False,F
"Most Syrian refugees are women and children, as Keith Ellison said",True,F
Trump claims Obama made deal to take thousands of illegal immigrants from Australia,Half-True,F
"Does Neil Gorsuch side with 'felons over gun safety,' as Pelosi says?",Mostly False,F
Nancy Pelosi overstates Wall Street refusal to support Democrats,Mostly False,F
McCain says Taliban 'murdered' people because of Chelsea Manning and WikiLeaks,Mostly False,F
Joni Ernst on target describing '11th-hour' Obama rule affecting Planned Parenthood,Mostly True,F
"Spicer's misleading claim that Trump's National Security Council is 'identical' to Bush's, Obama's",Mostly False,F
Kellyanne Conway incorrect that worker remittances to Mexico are 'No. 1' income flow,False,F
Why comparing Trump's and Obama's immigration restrictions is flawed ,Mostly False,F
No terrorist attacks post 9/11 by people from countries in Trump's travel ban?,Half-True,F
No evidence for Trump claim that it was 'impossible' for Syrian Christians to enter U.S.,False,F
Chuck Schumer wrongly tweets 'Tillerson won't divest from Exxon',Pants on Fire!,F
"Donald Trump's inaugural speech polled well, but not as well as predecessors'",Mostly True,F
"Donald Trump was not 'unanimously endorsed' by ICE, border patrol",Mostly False,F
Claire McCaskill overstates tax impacts of repealing Obamacare,Mostly False,F
Here's what you need to know about California's climate change deal,Mostly True,F
Pants on Fire claim that George Soros money went to Women's March protesters,Pants on Fire!,F
Sean Spicer wrongly uses Pew study to bolster claim that non-citizens vote in large numbers,False,F
Sean Spicer's claim of a 'dramatic expansion in the federal workforce' is exaggerated,Mostly False,F
Donald Trump's stat on homicide increase in major cities is solid,Mostly True,F
"White House website says D.C. homicides climbed 50 percent, but more recent data shows they fell",Mostly False,F
Trump wrongly blames press for feud with intel community,False,F
Donald Trump had biggest inaugural crowd ever? Metrics don't show it,Pants on Fire!,F
Trump wrongly says U.S. has made others rich while our wealth has 'dissipated' ,Mostly False,T
Viral image about Democratic senators and 'big pharma' is misleading,Mostly False,F
Education nominee Betsy DeVos says a Wyoming school might need guns to stop grizzly bears,False,F
John Lewis wrong on whether he skipped an inauguration before Donald Trump's,Pants on Fire!,F
"Rep. Luke Messer is correct, 2006 act allows the construction of a border wall",True,F
Trump's exaggerated claim that John Lewis' district is 'falling apart' and 'crime infested' ,Mostly False,T
"Medicaid expansion drove health insurance coverage under health law, Rand Paul says",Half-True,F
Trump lawyer: Foreign dignitaries staying in a Trump hotel doesn't violate Constitution,Half-True,F
Keith Ellison wrong that CBO can't analyze cost of Obamacare repeal,False,F
Rex Tillerson misleads on Russian sanctions opposition,Mostly False,F
Viral post exaggerates GOP senators' bill on embassy move,Mostly False,F
Trump wrong that Americans don't care about his tax returns,False,F
Trump says Russians were unable to hack the Republican National Committee,Mostly True,F
"Jeff Sessions objected to immigrants in armed forces, Senator Durbin says",Mostly True,F
Mitch McConnell says 8 out of 10 favor changing Obamacare significantly or replacing it altogether,Mostly True,F
Schumer: Trump and his HHS pick Tom Price at odds on Medicare,Mostly True,F
"Mike Pence says under Obamacare, 'American families have seen an increase in premiums of $5,000'",Half-True,F
Donald Trump's dubious claim that foreign governments had 'absolutely no effect' on election outcome,Mostly False,F
Cory Booker: McConnell wanted full ethics review of Obama nominees before hearings,Mostly True,F
Mostly True: Trump tweet about GM Chevy Cruze manufacturing,Mostly True,T
It's True: WikiLeaks dumped Podesta emails hour after Trump video surfaced,True,F
"Pants on Fire! Trump tweet about White House, Russian hacking probe",Pants on Fire!,F
"Did Rex Tillerson, oil CEO and secretary of state pick, sue to keep fracking out of own backyard?",Mostly True,F
Donald Trump's Electoral College victory was not a 'massive landslide',False,F
Reince Priebus falsely claims no conclusive report whether Russia tried to influence election,False,F
"Fact-checking Donald Trump's tweet on Air Force One, Boeing",Half-True,F
Mike Pence says Donald Trump won most counties by a Republican since Ronald Reagan,Mostly True,F
New York City mayor says president can't defund sanctuary cities 'across the board',Mostly True,F
Donald Trump's Pants on Fire claim that millions of illegal votes cost him popular vote victory,Pants on Fire!,F
"Santa Fe mayor defends sanctuary cities, says studies don't show increase in crime",Half-True,F
"Reince Priebus says Trump, Congress have similar immigration policies",Mostly True,F
Rand Paul says John Bolton still thinks Iraq War was right decision,True,F
"No, someone wasn't paid $3,500 to protest Donald Trump; it's fake news",Pants on Fire!,F
Giuliani: President Trump will be exempt from conflict-of-interest laws,True,F
Trump misleads in number of criminal immigrants illegally in country,Half-True,F
Donald Trump says New York Times apologized for 'bad coverage' of him,False,F
Donald Trump wrongly tweets that he 'never said' more countries should have nuclear weapons,False,F
"No, Donald Trump is not beating Hillary Clinton in the popular vote",Pants on Fire!,F
No evidence to support rumors of 'We hate Muslims' chant at Trump victory rally,Pants on Fire!,F
"In closing argument, Donald Trump wrongly says he outdraws Beyonce, Jay Z",False,F
Obama says Republicans tried to 'purge' black Democrats from voter rolls in North Carolina,Half-True,F
Donald Trump correct that 1 in 4 working-age Americans not employed,Mostly True,T
"Tim Kaine is right, Spanish was first European language spoken in United States",True,F
Would 51% of single parents see taxes rise under Donald Trump's tax plan?,True,F
Donald Trump's Pants on Fire claim that Obama 'screamed' at protester,Pants on Fire!,F
Hillary Clinton: Donald Trump says 'organized crime runs wild on reservations',Half-True,F
Trump wrongly claims tremendous support from women,False,F
Evidence ridiculously thin for sensational claim of huge underground Clinton sex network,Pants on Fire!,F
Trump says the media doesn't show his crowds at rallies. He's wrong,False,F
Hillary Clinton says Donald Trump 'wants to undo marriage equality',True,F
Trump leaves out context in claim about immigrants and crime,Half-True,F
Is Mike Pence right that 1 in 5 U.S. households don't have anyone working?,Half-True,T
Hillary Clinton says Donald Trump doesn't believe in equal pay,Half-True,T
"On average, Donald Trump comparison of health care, housing doesn't match data",Mostly False,T
"Trump says Twitter, Google, Facebook buried Clinton emails story",False,F
"Trump said he would require schools to allow guns, Clinton says",True,F
Fact-checking Donald Trump on FBI probe into Clinton emails,Half-True,F
"Pro-Clinton Super PAC says Trump wants to deport millions, including 'Dreamers'",Mostly True,F
Trump's claim about weak economic growth under President Obama doesn't tell the full story,Mostly True,T
Claim that George Soros owns U.S. voting machines is Pants on Fire!,Pants on Fire!,F
"Pants on Fire! Trump says Clinton would let 650 million people into the U.S., in one week",Pants on Fire!,F
Clinton campaign says Comey letter violates Justice Department protocols,Mostly True,F
Clinton wrongly says FBI director sent letter about emails 'only' to Republicans,False,F
Clinton says kids are healthier,Half-True,F
Donald Trump says half of young black children are in 'abject poverty',Half-True,F
Clinton: Undocumented workers pay more than Trump in federal income taxes,Half-True,F
"Newt Gingrich misleading in saying Bill Clinton paid $850,000 'penalty'",Half-True,F
Did U.S. spend $6 trillion in Middle East wars?,Half-True,F
Facts dispute Donald Trump's claim that donation to FBI spouse linked to Clinton email decision,Mostly False,F
Clinton said Trump wants to know about allies' payments before defending them,True,F
Donald Trump absurdly claims Clinton campaign chairman rigged the polls. Pants on Fire!,Pants on Fire!,F
Is Trump the first-ever candidate not to say he'll accept election results?,Mostly True,F
Hillary Clinton exaggerates by saying Donald Trump plans to deport 16 million people,Half-True,F
Donald Trump wrongly says 14 percent of noncitizens are registered to vote,False,F
"Half True: Clinton says she sponsored 400 bills, worked with GOP",Half-True,F
Clinton: School boards' anti-Catholic scare tactics in 1928 election,Half-True,F
Context is crucial in defining how many countries now harbor ISIS,Half-True,F
"Do Clinton donors 'throw gays off of buildings'? No, that's ISIS",Mostly False,F
Donald Trump says Ford is moving all small-car production to Mexico,Mostly True,F
"Trump right on Obama's deportation numbers, wrong about nobody talking about it",Half-True,F
"Trump says Russia has added nuclear warheads, while US hasn't",Half-True,F
What Hillary Clinton's plans mean for the U.S. debt,Half-True,F
Donald Trump says reports of sexual assault by him have been disproven,False,F
Hillary Clinton says Donald Trump claimed the Emmys were rigged,Half-True,F
Donald Trump says Hillary Clinton is 'wrong' to say he mocked a disabled reporter,False,F
Hillary Clinton: Donald Trump still promising to deport every undocumented person,Mostly True,F
Hillary Clinton correctly claims that Trump Tower was in part built by undocumented workers,True,F
Trump wrongly says $6 billion went missing at State Department under Clinton,Pants on Fire!,F
"Donald Trump says Hillary Clinton fought for a wall between U.S., Mexico",Half-True,F
Donald Trump off-base in saying Hillary Clinton will 'double your taxes',Mostly False,T
Hillary Clinton blames high-up Russians for WikiLeaks releases,True,F
Donald Trump says Hillary Clinton wants to have open borders,Mostly False,F
Hillary Clinton says Supreme Court gun decision dealt with protecting toddlers,Half-True,F
"Hillary Clinton says 33,000 Americans die each year from guns",Mostly True,F
Trump says heroin pours across the southern border,True,F
Mike Pence wrong on Haiti contracts steered to Clinton friends,False,F
Clinton twists Trump's words on rescuing the auto industry during recession,Pants on Fire!,F
"Trump off-base on Buffett, Soros deductions",Mostly False,F
Clinton correct Buffett claimed to pay a lower tax rate than his secretary,True,F
FBI director James Comey says Donald Trump has it flipped; Petraeus case was worse than Clinton's,False,F
Donald Trump's Pants on Fire claim of 'large scale voter fraud',Pants on Fire!,F
"Trump says workers making less, working harder than 20 years ago",Mostly False,T
Pence wrongly says more than half of Hillary Clinton's meetings went to foundation donors,Mostly False,F
Donald Trump wrongly maligns U.S. chess prowess,Pants on Fire!,F
Donald Trump wildly exaggerates Amb. Christopher Steven's requests for extra Benghazi security,Mostly False,F
Clinton says Muslims have been in America since George Washington,True,F
Obama says terrorism worldwide has not increased substantially since he took office,Mostly False,F
Trump: 'Ive been proven right' about Clinton wanting open borders,Mostly False,F
Clinton is right: Trump tax plan gives more to rich than Bush tax cuts,True,F
Hillary Clinton claim that US is energy independent goes too far,False,F
Donald Trump off-base in claim about Michelle Obama ad against Hillary Clinton ,False,F
Donald Trump incorrectly pins Benghazi criticism on Sidney Blumenthal,False,F
Trump mangles facts on Clinton and Haiti jobs project,Mostly False,F
Trump says Clinton viciously attacked those who charged abuse by Bill,Mostly False,F
Clinton says she was gone for the 'red line' in Syria incident,Mostly False,F
Donald Trump says ICE endorsed him,Mostly False,F
Donald Trump largely accurate that U.S. had biggest increase in murders in 45 years,Mostly True,F
Donald Trump wrongly says Hillary Clinton laughed at a 12-year-old rape victim,False,F
Clinton said terrorists use Trump's remarks about Muslims for recruitment,True,F
Trump's Pants on Fire about his early-morning tweet on Alicia Machado,Pants on Fire!,F
Trump: Clinton won't use the term 'radical Islamic terrorists',Mostly False,F
Donald Trump wrongly says Hillary Clinton 'wants to go to a single-payer plan' for health care,False,F
"Donald Trump says Hillary Clinton deleted 33,000 emails after getting a subpoena",Half-True,F
Hillary Clinton says a record 90% of Americans have health insurance today,True,F
"Donald Trump has no 'fiduciary responsibility' on his personal tax returns, experts say",False,F
"Tim Kaine said Trump ticket wants to deport 16 million, end birthright citizenship",Half-True,F
"Trump: Clinton promised to add 200K jobs to upstate New York, but 'they lost so many jobs'",Mostly True,F
Limited data support Gina Raimondo's claim that motorists save when illegal immigrants get licenses,Mostly True,T
Tim Kaine overstates Clinton's record on cutting Russia's nuclear stockpile,Half-True,F
Pence's False claim that Trump 'hasn't broken' tax return promise,False,F
Mike Pence tidies up Donald Trump's quote about Mexicans as 'good people',Half-True,F
Tim Kaine recalls Mike Pence comment on Vladimir Putin,Mostly True,F
Kaine: Police stopped slain Minnesota driver over 40 times,True,F
"At debate, Mike Pence claims Trump never said more nations should have nuclear weapons",Mostly False,F
Mike Pence says Hillary Clinton wants to turn Obamacare into single-payer,Mostly False,F
Tim Kaine Mostly False on Donald Trump's Social Security stance,Mostly False,F
Kaine: Trump said undocumented immigrants 'will all be gone',Half-True,F
Pence repeats false claim on Clinton Foundation's limited charitable work,False,F
Tim Kaine says that during the Obama administration 15 million jobs were created ,Half-True,T
Mike Pence: Hillary Clinton failed to keep U.S. troops in Iraq,Mostly False,F
Mike Pence leaves out some details on his tax cut,Half-True,F
"Tim Kaine says Donald Trump, Mike Pence want to eliminate the federal minimum wage",Half-True,T
Hillary Clinton's off-base linkage of tax cuts and the Great Recession,Mostly False,T
Barack Obama says VA budget has risen 85 percent on his watch,Half-True,F
Partial credit: Chelsea Clinton says Gary Johnson wants to eliminate public schools,Half-True,F
"Trump says 1,800 people who were going to be deported ended up becoming citizens",Mostly True,F
Claims that Hillary Clinton wore earpiece at debate don't hold up,Pants on Fire!,F
Donald Trump and Lester Holt clash over whether stop-and-frisk is constitutional in New York,Mostly False,F
Donald Trump: My Trans-Pacific Partnership opposition made Hillary Clinton change her stance,False,T
Donald Trump wrong again about NATO increasing terrorism efforts 'largely' because of him,False,F
"Trump says Clinton would bring in 620,000 refugees in her first term",False,F
Donald Trump off-base in saying murders are up in New York City,Mostly False,F
Donald Trump's false claim that Clinton's energy plan will cost the economy $5 trillion,False,F
Trump falsely tries to pin birtherism on Clinton insiders,False,F
"At debate, Hillary Clinton tax claim ignores years when Donald Trump reportedly paid federal taxes",Mostly False,F
True: Hillary Clinton says federal government sued Donald Trump for housing discrimination,True,F
Hillary Clinton correctly cites outside analyses of Trump's tax plan,True,F
Donald Trump says Chicago has experienced thousands of shootings this year,True,F
"At first debate, Donald Trump claims, again, that he was against war in Iraq",False,F
Hillary Clinton claims Donald Trump invited Russian President Vladimir Putin  to hack Americans,Half-True,F
Donald Trump says Hillary Clinton lauded controversial Trans-Pacific trade deal,Mostly True,T
Hillary Clinton correct that gun deaths for young black males outpace next 9 causes combined,True,F
Donald Trump wrong that 'you will learn more' from financial disclosure form than from tax returns,False,T
"At New York debate, Donald Trump denies saying climate change is a Chinese hoax",Mostly False,T
Hillary Clinton says Donald Trump has said he would negotiate down the national debt,Mostly True,T
Hillary Clinton says Donald Trump rooted for the housing crisis,Mostly True,T
"Donald Trump wrong to say Hillary Clinton wants to shut down natural gas, fracking",Half-True,T
Donald Trump claim on Israeli profiling misses broader security context,Half-True,F
Experts say Donald Trump's 'policies' dovetail with what Vladimir Putin would like for Russia,Mostly True,T
Trump's Pants on Fire claim that black communities 'are absolutely in the worst shape' ever,Pants on Fire!,T
Hillary Clinton overstates impact of New START on Russia's nuclear arsenal,Half-True,F
Donald Trump says he never called for profiling Muslims,False,F
Hillary Clinton says immigration reform will add $700 billion to U.S. economy,Half-True,T
"RNC makes weak case that 'over the past eight years, black youth unemployment is up'",Mostly False,T
Hillary Clinton correct; Hispanic wealth disproportionately lower than its share of the population,True,T
"Trump says in few years, immigrant share of population will break records",Mostly True,F
"Tim Kaine says millennials agree with Clinton, not Trump, on big issues",Mostly True,F
Donald Trump's Pants on Fire claim that he 'finished' the Obama birther talk,Pants on Fire!,F
Fact-checking Donald Trump's claim Hillary Clinton started Obama birther movement,False,F
Full Flop: Donald Trump abandons Barack Obama birther conspiracy,Full Flop,F
John Fleming attacks IRS in inaccurate radio ad,False,F
Donald Trump's Pants on Fire claim that Hillary Clinton 'has no child care plan',Pants on Fire!,F
"No, Donald Trump's foundation money does not come from him",False,F
Clinton ad: Trump Management was charged with discriminating against black people,True,F
"Comparing the medical histories of Clinton, Trump, Romney and Obama",Mostly True,F
Trump says 1 million legal crossings along U.S.-Mexico border,Mostly True,F
That Hillary Clinton 'undercover nurse' story is bogus,Pants on Fire!,F
"Barack Obama says Trump foundation took other people's money, bought a six-foot-tall painting",True,F
"Wolfowitz wrongly says Germany, France thought Iraq had WMD",Mostly False,F
Trump is right: Heroin is coming in through southern border,True,F
William Weld says 76% of Americans want Gary Johnson in debates,Half-True,F
Mike Pence says 'no effort' made against visa overstays,Half-True,F
Bloggers hype Hillary Clinton health poll as a representative survey of all doctors; it's not,False,F
Hillary Clinton wrongly says it's 'legal' to fire employees for discussing pay 'in most places',Mostly False,F
Donald Trump's False claim veterans treated worse than illegal immigrants,False,F
"Facts take a vacation in Occupy Democrats' post about presidential, congressional time off",Pants on Fire!,F
Did Vladimir Putin call Trump 'brilliant'? ,Mostly False,F
Hillary Clinton says Trump supported intervention in Libya,Mostly True,F
Hillary Clinton says none of her emails had classification headers,Mostly True,F
Hillary Clinton says Donald Trump supports privatizing the VA health care system,Mostly False,F
"Did Hillary Clinton say she was ""satisfied"" with Veterans Administration? ",Mostly False,F
Trump repeats wrong claim that he opposed Iraq War,False,F
Rudy Giuliani says food stamps rose two and a half times under Barack Obama,False,F
Donald Trump says his financial disclosures more than make up for lack of releasing tax returns,False,F
"Trump says Secure Communities, 287(g) immigration programs worked",Half-True,F
Pence wrongly says Trump has been consistent in immigration views,False,F
Mike Pence cites Clinton support for more Syrian refugees,True,F
"Donald Trump strays from key facts on Hillary Clinton 'amnesty,' social programs for immigrants",Mostly False,T
"Donald Trump says Obama has let300,000 criminal aliens to goback into U.S.communities",Half-True,F
Mostly True: Donald Trump says 23 countries refuse to take back their natives from America,Mostly True,F
Donald Trump repeats Pants on Fire claim about '30 million' illegal immigrants,Pants on Fire!,F
Donald Trump says illegal immigration costs $113 billion a year,Mostly False,F
Did the Clinton Foundation go 'above and beyond' in transparency?,Half-True,F
Has Hillary Clinton not had a press conference in 269 days?,Mostly True,F
PAC ad say Bruce Poliquin voted to force seniors to pay more for prescription drugs,Half-True,F
Donald Trump is wrong that 'inner-city crime is reaching record levels',Pants on Fire!,F
Reince Priebus says Clinton campaign and supporters started the birther movement,Half-True,F
"Trump says they were going to build a wall in '06, but environmental rules got in the way",Mostly False,F
"Gary Johnson questions pollsters as he tries to join Clinton, Trump on debate stage",False,F
Did Hillary Clinton call African-American youth 'superpredators?',Mostly True,F
"Hillary Clinton, citing 'Trump Effect,' says teachers are reporting more bullying in schools",Mostly True,F
Trump's False claim Hillary Clinton wants to raise taxes on African-American businesses 50 percent,False,F
Donald Trump: Clinton's celebrity backers 'aren't very hot anymore',Mostly False,F
Donald Trump offers misleading statistics about Hispanic poverty,Mostly False,F
Reince Priebus' False claim that 80% of Clinton Foundation costs are overhead,False,F
Donald Trump ad says illegal immigrants would be collecting Social Security under Hillary Clinton,Mostly False,T
Clinton surrogate spins Clinton Foundation defense,Mostly False,F
Donald Trump's Mostly False claim that $400 million payment to Iran was 'ransom',Mostly False,F
