,Statement,Ruling,Economics (T/F)
97,Hillary Clinton says Donald Trump wants undo marriage equality ,True,F
98,Trump leaves context claim immigrants crime ,Half-True,F
99,Is Mike Pence right NUM NUM US households dont anyone working ,Half-True,T
100,Hillary Clinton says Donald Trump doesnt believe equal pay ,Half-True,T
101,On average Donald Trump comparison health care housing doesnt match data ,Mostly False,T
102,Trump says Twitter Google Facebook buried Clinton emails story ,False,F
103,Trump said would require schools allow guns Clinton says ,True,F
104,Factchecking Donald Trump FBI probe Clinton emails ,Half-True,F
105,ProClinton Super PAC says Trump wants deport millions including Dreamers ,Mostly True,F
106,Trumps claim weak economic growth President Obama doesnt tell full story ,Mostly True,T
107,Claim George Soros owns US voting machines Pants Fire ,Pants on Fire!,F
108,Pants Fire Trump says Clinton would let NUM million people US one week ,Pants on Fire!,F
109,Clinton campaign says Comey letter violates Justice Department protocols ,Mostly True,F
110,Clinton wrongly says FBI director sent letter emails Republicans ,False,F
111,Clinton says kids healthier ,Half-True,F
112,Donald Trump says half young black children abject poverty ,Half-True,F
113,Clinton Undocumented workers pay Trump federal income taxes ,Half-True,F
114,Newt Gingrich misleading saying Bill Clinton paid NUM penalty ,Half-True,F
115,Did US spend NUM trillion Middle East wars ,Half-True,F
116,Facts dispute Donald Trumps claim donation FBI spouse linked Clinton email decision ,Mostly False,F
117,Clinton said Trump wants know allies payments defending ,True,F
118,Donald Trump absurdly claims Clinton campaign chairman rigged polls Pants Fire ,Pants on Fire!,F
119,Is Trump firstever candidate say hell accept election results ,Mostly True,F
120,Hillary Clinton exaggerates saying Donald Trump plans deport NUM million people ,Half-True,F
121,Donald Trump wrongly says NUM percent noncitizens registered vote ,False,F
122,Half True Clinton says sponsored NUM bills worked GOP ,Half-True,F
123,Clinton School boards antiCatholic scare tactics NUM election ,Half-True,F
124,Context crucial defining many countries harbor ISIS ,Half-True,F
125,Do Clinton donors throw gays buildings No thats ISIS ,Mostly False,F
126,Donald Trump says Ford moving smallcar production Mexico ,Mostly True,F
127,Trump right Obamas deportation numbers wrong nobody talking ,Half-True,F
128,Trump says Russia added nuclear warheads US hasnt ,Half-True,F
129,What Hillary Clintons plans mean US debt ,Half-True,F
130,Donald Trump says reports sexual assault disproven ,False,F
131,Hillary Clinton says Donald Trump claimed Emmys rigged ,Half-True,F
132,Donald Trump says Hillary Clinton wrong say mocked disabled reporter ,False,F
133,Hillary Clinton Donald Trump still promising deport every undocumented person ,Mostly True,F
134,Hillary Clinton correctly claims Trump Tower part built undocumented workers ,True,F
135,Trump wrongly says NUM billion went missing State Department Clinton ,Pants on Fire!,F
136,Donald Trump says Hillary Clinton fought wall US Mexico ,Half-True,F
137,Donald Trump offbase saying Hillary Clinton double taxes ,Mostly False,T
138,Hillary Clinton blames highup Russians WikiLeaks releases ,True,F
139,Donald Trump says Hillary Clinton wants open borders ,Mostly False,F
140,Hillary Clinton says Supreme Court gun decision dealt protecting toddlers ,Half-True,F
141,Hillary Clinton says NUM Americans die year guns ,Mostly True,F
142,Trump says heroin pours across southern border ,True,F
143,Mike Pence wrong Haiti contracts steered Clinton friends ,False,F
144,Clinton twists Trumps words rescuing auto industry recession ,Pants on Fire!,F
145,Trump offbase Buffett Soros deductions ,Mostly False,F
146,Clinton correct Buffett claimed pay lower tax rate secretary ,True,F
147,FBI director James Comey says Donald Trump flipped Petraeus case worse Clintons ,False,F
148,Donald Trumps Pants Fire claim large scale voter fraud ,Pants on Fire!,F
149,Trump says workers making less working harder NUM years ago ,Mostly False,T
150,Pence wrongly says half Hillary Clintons meetings went foundation donors ,Mostly False,F
151,Donald Trump wrongly maligns US chess prowess ,Pants on Fire!,F
152,Donald Trump wildly exaggerates Amb Christopher Stevens requests extra Benghazi security ,Mostly False,F
153,Clinton says Muslims America since George Washington ,True,F
154,Obama says terrorism worldwide increased substantially since took office ,Mostly False,F
155,Trump Ive proven right Clinton wanting open borders ,Mostly False,F
156,Clinton right Trump tax plan gives rich Bush tax cuts ,True,F
157,Hillary Clinton claim US energy independent goes far ,False,F
158,Donald Trump offbase claim Michelle Obama ad Hillary Clinton  ,False,F
159,Donald Trump incorrectly pins Benghazi criticism Sidney Blumenthal ,False,F
160,Trump mangles facts Clinton Haiti jobs project ,Mostly False,F
161,Trump says Clinton viciously attacked charged abuse Bill ,Mostly False,F
162,Clinton says gone red line Syria incident ,Mostly False,F
163,Donald Trump says ICE endorsed ,Mostly False,F
164,Donald Trump largely accurate US biggest increase murders NUM years ,Mostly True,F
165,Donald Trump wrongly says Hillary Clinton laughed NUMyearold rape victim ,False,F
166,Clinton said terrorists use Trumps remarks Muslims recruitment ,True,F
167,Trumps Pants Fire earlymorning tweet Alicia Machado ,Pants on Fire!,F
168,Trump Clinton wont use term radical Islamic terrorists ,Mostly False,F
169,Donald Trump wrongly says Hillary Clinton wants go singlepayer plan health care ,False,F
170,Donald Trump says Hillary Clinton deleted NUM emails getting subpoena ,Half-True,F
171,Hillary Clinton says record NUM Americans health insurance today ,True,F
172,Donald Trump fiduciary responsibility personal tax returns experts say ,False,F
173,Tim Kaine said Trump ticket wants deport NUM million end birthright citizenship ,Half-True,F
174,Trump Clinton promised add NUMK jobs upstate New York lost many jobs ,Mostly True,F
175,Limited data support Gina Raimondos claim motorists save illegal immigrants get licenses ,Mostly True,T
176,Tim Kaine overstates Clintons record cutting Russias nuclear stockpile ,Half-True,F
177,Pences False claim Trump hasnt broken tax return promise ,False,F
178,Mike Pence tidies Donald Trumps quote Mexicans good people ,Half-True,F
179,Tim Kaine recalls Mike Pence comment Vladimir Putin ,Mostly True,F
180,Kaine Police stopped slain Minnesota driver NUM times ,True,F
181,At debate Mike Pence claims Trump never said nations nuclear weapons ,Mostly False,F
182,Mike Pence says Hillary Clinton wants turn Obamacare singlepayer ,Mostly False,F
183,Tim Kaine Mostly False Donald Trumps Social Security stance ,Mostly False,F
184,Kaine Trump said undocumented immigrants gone ,Half-True,F
185,Pence repeats false claim Clinton Foundations limited charitable work ,False,F
186,Tim Kaine says Obama administration NUM million jobs created  ,Half-True,T
187,Mike Pence Hillary Clinton failed keep US troops Iraq ,Mostly False,F
188,Mike Pence leaves details tax cut ,Half-True,F
189,Tim Kaine says Donald Trump Mike Pence want eliminate federal minimum wage ,Half-True,T
190,Hillary Clintons offbase linkage tax cuts Great Recession ,Mostly False,T
191,Barack Obama says VA budget risen NUM percent watch ,Half-True,F
192,Partial credit Chelsea Clinton says Gary Johnson wants eliminate public schools ,Half-True,F
193,Trump says NUM people going deported ended becoming citizens ,Mostly True,F
194,Claims Hillary Clinton wore earpiece debate dont hold ,Pants on Fire!,F
195,Donald Trump Lester Holt clash whether stopandfrisk constitutional New York ,Mostly False,F
196,Donald Trump My TransPacific Partnership opposition made Hillary Clinton change stance ,False,T
197,Donald Trump wrong NATO increasing terrorism efforts largely ,False,F
198,Trump says Clinton would bring NUM refugees first term ,False,F
199,Donald Trump offbase saying murders New York City ,Mostly False,F
200,Donald Trumps false claim Clintons energy plan cost economy NUM trillion ,False,F
201,Trump falsely tries pin birtherism Clinton insiders ,False,F
202,At debate Hillary Clinton tax claim ignores years Donald Trump reportedly paid federal taxes ,Mostly False,F
203,True Hillary Clinton says federal government sued Donald Trump housing discrimination ,True,F
204,Hillary Clinton correctly cites outside analyses Trumps tax plan ,True,F
205,Donald Trump says Chicago experienced thousands shootings year ,True,F
206,At first debate Donald Trump claims war Iraq ,False,F
207,Hillary Clinton claims Donald Trump invited Russian President Vladimir Putin  hack Americans ,Half-True,F
208,Donald Trump says Hillary Clinton lauded controversial TransPacific trade deal ,Mostly True,T
209,Hillary Clinton correct gun deaths young black males outpace next NUM causes combined ,True,F
210,Donald Trump wrong learn financial disclosure form tax returns ,False,T
211,At New York debate Donald Trump denies saying climate change Chinese hoax ,Mostly False,T
212,Hillary Clinton says Donald Trump said would negotiate national debt ,Mostly True,T
213,Hillary Clinton says Donald Trump rooted housing crisis ,Mostly True,T
214,Donald Trump wrong say Hillary Clinton wants shut natural gas fracking ,Half-True,T
215,Donald Trump claim Israeli profiling misses broader security context ,Half-True,F
216,Experts say Donald Trumps policies dovetail Vladimir Putin would like Russia ,Mostly True,T
217,Trumps Pants Fire claim black communities absolutely worst shape ever ,Pants on Fire!,T
218,Hillary Clinton overstates impact New START Russias nuclear arsenal ,Half-True,F
219,Donald Trump says never called profiling Muslims ,False,F
220,Hillary Clinton says immigration reform add NUM billion US economy ,Half-True,T
221,RNC makes weak case past eight years black youth unemployment ,Mostly False,T
222,Hillary Clinton correct Hispanic wealth disproportionately lower share population ,True,T
223,Trump says years immigrant share population break records ,Mostly True,F
224,Tim Kaine says millennials agree Clinton Trump big issues ,Mostly True,F
225,Donald Trumps Pants Fire claim finished Obama birther talk ,Pants on Fire!,F
226,Factchecking Donald Trumps claim Hillary Clinton started Obama birther movement ,False,F
227,Full Flop Donald Trump abandons Barack Obama birther conspiracy ,Full Flop,F
228,John Fleming attacks IRS inaccurate radio ad ,False,F
229,Donald Trumps Pants Fire claim Hillary Clinton child care plan ,Pants on Fire!,F
230,No Donald Trumps foundation money come ,False,F
231,Clinton ad Trump Management charged discriminating black people ,True,F
232,Comparing medical histories Clinton Trump Romney Obama ,Mostly True,F
233,Trump says NUM million legal crossings along USMexico border ,Mostly True,F
234,That Hillary Clinton undercover nurse story bogus ,Pants on Fire!,F
235,Barack Obama says Trump foundation took peoples money bought sixfoottall painting ,True,F
236,Wolfowitz wrongly says Germany France thought Iraq WMD ,Mostly False,F
237,Trump right Heroin coming southern border ,True,F
238,William Weld says NUM Americans want Gary Johnson debates ,Half-True,F
239,Mike Pence says effort made visa overstays ,Half-True,F
240,Bloggers hype Hillary Clinton health poll representative survey doctors ,False,F
241,Hillary Clinton wrongly says legal fire employees discussing pay places ,Mostly False,F
242,Donald Trumps False claim veterans treated worse illegal immigrants ,False,F
243,Facts take vacation Occupy Democrats post presidential congressional time ,Pants on Fire!,F
244,Did Vladimir Putin call Trump brilliant  ,Mostly False,F
245,Hillary Clinton says Trump supported intervention Libya ,Mostly True,F
246,Hillary Clinton says none emails classification headers ,Mostly True,F
247,Hillary Clinton says Donald Trump supports privatizing VA health care system ,Mostly False,F
248,Did Hillary Clinton say satisfied Veterans Administration  ,Mostly False,F
249,Trump repeats wrong claim opposed Iraq War ,False,F
250,Rudy Giuliani says food stamps rose two half times Barack Obama ,False,F
251,Donald Trump says financial disclosures make lack releasing tax returns ,False,F
252,Trump says Secure Communities NUMg immigration programs worked ,Half-True,F
253,Pence wrongly says Trump consistent immigration views ,False,F
254,Mike Pence cites Clinton support Syrian refugees ,True,F
255,Donald Trump strays key facts Hillary Clinton amnesty social programs immigrants ,Mostly False,T
256,Donald Trump says Obama letNUM criminal aliens goback UScommunities ,Half-True,F
257,Mostly True Donald Trump says NUM countries refuse take back natives America ,Mostly True,F
258,Donald Trump repeats Pants Fire claim NUM million illegal immigrants ,Pants on Fire!,F
259,Donald Trump says illegal immigration costs NUM billion year ,Mostly False,F
260,Did Clinton Foundation go beyond transparency ,Half-True,F
261,Has Hillary Clinton press conference NUM days ,Mostly True,F
262,PAC ad say Bruce Poliquin voted force seniors pay prescription drugs ,Half-True,F
263,Donald Trump wrong innercity crime reaching record levels ,Pants on Fire!,F
264,Reince Priebus says Clinton campaign supporters started birther movement ,Half-True,F
265,Trump says going build wall NUM environmental rules got way ,Mostly False,F
266,Gary Johnson questions pollsters tries join Clinton Trump debate stage ,False,F
267,Did Hillary Clinton call AfricanAmerican youth superpredators ,Mostly True,F
268,Hillary Clinton citing Trump Effect says teachers reporting bullying schools ,Mostly True,F
269,Trumps False claim Hillary Clinton wants raise taxes AfricanAmerican businesses NUM percent ,False,F
270,Donald Trump Clintons celebrity backers arent hot anymore ,Mostly False,F
271,Donald Trump offers misleading statistics Hispanic poverty ,Mostly False,F
272,Reince Priebus False claim NUM Clinton Foundation costs overhead ,False,F
273,Donald Trump ad says illegal immigrants would collecting Social Security Hillary Clinton ,Mostly False,T
274,Clinton surrogate spins Clinton Foundation defense ,Mostly False,F
275,Congressman proposes new tax remittances pay Trumps border wall We checked numbers ,Half-True,T
276,Donald Trump flubs unemployment calculated ,False,T
277,Trump Since China joined WTO US lost NUM factories ,Mostly True,T
278,Trump hints stock market record high linked optimism presidency ,Mostly True,T
279,Arkansas senator says NUM million green cards issued employmentbased ,Mostly True,T
280,Trump wrongly says US made others rich wealth dissipated  ,Mostly False,T
281,Trumps exaggerated claim John Lewis district falling apart crime infested  ,Mostly False,T
282,Mostly True Trump tweet GM Chevy Cruze manufacturing ,Mostly True,T
283,Donald Trump correct NUM NUM workingage Americans employed ,Mostly True,T
284,Is Mike Pence right NUM NUM US households dont anyone working ,Half-True,T
285,Hillary Clinton says Donald Trump doesnt believe equal pay ,Half-True,T
286,On average Donald Trump comparison health care housing doesnt match data ,Mostly False,T
287,Trumps claim weak economic growth President Obama doesnt tell full story ,Mostly True,T
288,Donald Trump offbase saying Hillary Clinton double taxes ,Mostly False,T
289,Trump says workers making less working harder NUM years ago ,Mostly False,T
290,Limited data support Gina Raimondos claim motorists save illegal immigrants get licenses ,Mostly True,T
291,Tim Kaine says Obama administration NUM million jobs created  ,Half-True,T
292,Tim Kaine says Donald Trump Mike Pence want eliminate federal minimum wage ,Half-True,T
293,Hillary Clintons offbase linkage tax cuts Great Recession ,Mostly False,T
294,Donald Trump My TransPacific Partnership opposition made Hillary Clinton change stance ,False,T
295,Donald Trump says Hillary Clinton lauded controversial TransPacific trade deal ,Mostly True,T
296,Donald Trump wrong learn financial disclosure form tax returns ,False,T
297,At New York debate Donald Trump denies saying climate change Chinese hoax ,Mostly False,T
298,Hillary Clinton says Donald Trump said would negotiate national debt ,Mostly True,T
299,Hillary Clinton says Donald Trump rooted housing crisis ,Mostly True,T
300,Donald Trump wrong say Hillary Clinton wants shut natural gas fracking ,Half-True,T
301,Experts say Donald Trumps policies dovetail Vladimir Putin would like Russia ,Mostly True,T
302,Trumps Pants Fire claim black communities absolutely worst shape ever ,Pants on Fire!,T
303,Hillary Clinton says immigration reform add NUM billion US economy ,Half-True,T
304,RNC makes weak case past eight years black youth unemployment ,Mostly False,T
305,Hillary Clinton correct Hispanic wealth disproportionately lower share population ,True,T
306,Donald Trump strays key facts Hillary Clinton amnesty social programs immigrants ,Mostly False,T
307,Donald Trump ad says illegal immigrants would collecting Social Security Hillary Clinton ,Mostly False,T
308,Hillary Clintons claim would make biggest jobs investment since World War II ,Half-True,T
309,Donald Trump says Hillary Clinton plan would tax small businesses nearly NUM percent ,Mostly False,T
310,Donald Trump exaggerates youth unemployment Reddit AMA ,False,T
311,Donald Trump correctly claims homeownership NUMyear low ,Mostly True,T
312,Clinton tips hat Bernie Sanders uses date statistic ,Half-True,T
313,Hillary Clintons Half True claim job recovery Obamas tenure ,Half-True,T
314,Donald Trump gets Full Flop stance minimum wage ,Full Flop,T
315,Biden Almost right US workers productive ,Mostly True,T
316,At DNC Tim Kaine says even Republicans think Donald Trumps proposals problematic ,Half-True,T
317,Elizabeth Warren says Donald Trump excited NUM housing crash ,Half-True,T
318,At DNC Bernie Sanders repeats claim top onetenth NUM owns much wealth bottom NUM ,Mostly True,T
319,Donald Trump Jr says unemployment rates manipulated political purposes ,Pants on Fire!,T
320,Donald Trump largely right household incomes NUM since NUM ,Mostly True,T
321,Donald Trump says goods trade deficit almost NUM billion NUM ,True,T
322,Donald Trump says Latino poverty grown Obama ignores important stat  ,Half-True,T
323,Mike Pence touts top Indiana credit rating achieved became governor ,Mostly True,T
324,Mike Pence says Hoosiers going work ever ,Half-True,T
325,Jeff Sessions says lowest percentage Americans working NUM years ,Mostly True,T
326,Mike Pence offers misleading statistic employment peak Indiana ,Half-True,T
327,Hillary Clinton says according analysts Donald Trump would increase debt NUM trillion ,Half-True,T
328,Barack Obama wrong size US steel production work force ,False,T
329,Donald Trump exaggerates Hillary Clintons role growing trade deficit China ,Mostly False,T
330,Hillary Clinton says American NUMks lost NUM billion Brexit vote ,Mostly True,T
331,Hillary Clinton correct analysts called Donald Trump top global economic risk ,True,T
332,Clinton Trump say Moodys economist team ,Half-True,T
333,Donald Trump flubs claim Hillary Clinton deleted support trade deal book ,Pants on Fire!,T
334,Obama Weve seen manufacturing jobs created anytime since NUMs ,Half-True,T
335,In shot Donald Trump Hillary Clinton correct tariffs role Great Depression ,True,T
336,Hillary Clinton faults Donald Trump hoping real estate crash led Great Recession ,Mostly True,T
337,Hillary Clinton says NUM best year US auto industry history ,Mostly True,T
338,Are aftertax incomes NUM since NUM  ,Mostly True,T
339,Hillary Clinton says market forces made coal companies go bankrupt ,Mostly True,T
340,Bernie Sanders says minimum wage hike NUM would reduce federal assistance NUM billion year ,Mostly False,T
341,Donald Trumps economic agenda imposing massive taxes American people Ted Cruz claims ,Half-True,T
342,Does Hillary Clinton want NUM NUM minimum wage ,Mostly True,T
343,Does CBO report suggest US economy faces decade protracted economic malaise ,Half-True,T
344,Club Growth claim ignores key points Donald Trumps stand healthcare coverage ,False,T
345,Ted Cruz pins much blame outflow jobs Barack Obama ,Mostly False,T
346,No GDP growth zero Donald Trump said Miami GOP debate ,False,T
347,Bernie Sanders statistic black Hispanic unemployment merit may date ,Mostly True,T
348,John Kasich ad says NUM million Americans work ,Half-True,T
349,Bernie Sanders wrong say When youre white  dont know like poor ,False,T
350,Hillary Clinton Barack Obama set new Wall Street fundraising record first ran president ,Mostly True,T
351,Hillary Clinton says wants return minimum wage high NUM hour todays dollars ,Half-True,T
352,Americans really havent raise NUM years Hillary Clinton says ,Mostly True,T
353,Bernie Sanders correct diagnosis US prescription drug prices typically highest world ,Mostly True,T
354,Donald Trump repeats Pants Fire claim unemployment rate could NUM percent ,Pants on Fire!,T
355,Bernie Sanders offers overheated claim Republicans stand climate change ,False,T
356,Bernie Sanders exaggerates concentration wealth income top NUM percent ,Half-True,T
357,Ted Cruz claim median AfricanAmerican income rose NUM Reagan ,Mostly False,T
358,Mixed bag Bernie Sanders claim wages hours income growth ,Half-True,T
359,Ted Cruz says US lowest percentage Americans working today year since NUM ,Mostly True,T
360,Barack Obama says US strongest durable economy world State Union ,Mostly True,T
361,Marco Rubio super PAC says Chris Christie imposed Internet tax New Jersey ,Mostly False,T
362,Economy weak raise income levels says Nikki Haley State Union response  ,Mostly True,T
363,Business created jobs every month since Obamacare became law Obama said State Union ,True,T
364,We cut deficits almost threequarters Obama says State Union ,Mostly True,T
365,Hillary Clinton says wages havent risen since turn century ,Half-True,T
366,Bernie Sanders says half black workers earn less NUM hour ,Mostly True,T
367,At debate Rand Paul says income inequality worse cities run Democrats ,Half-True,T
368,Ben Carson said raising minimum wage increase joblessness ,False,T
369,Christie The US worst recovery since WWII ,Half-True,T
370,Ted Cruz says median wage women dropped NUM Obama ,False,T
371,Rubio says businesses closing opening first time NUM years ,Half-True,T
372,Internet graphic says suicide rate much higher Denmark United States ,Mostly False,T
373,In debate Bernie Sanders says AfricanAmerican youth unemployment NUM NUM Hispanics ,Half-True,T
374,Wasserman Schultz Under conservative Republican president losing NUM jobs month ,Mostly True,T
375,Donald Trump says unemployment rate may NUM percent ,Pants on Fire!,T
376,Jeb Bush says tax policies George W Bush created dynamic effect high growth ,Mostly False,T
377,Ted Cruz says slow economic growth Jimmy Carter Barack Obama stands apart ,Mostly False,T
378,Hillary Clinton Recessions frequent Republicans Democrats ,Mostly True,T
379,Trump Walker turned NUM billion surplus NUM budget shortfall ,Mostly False,T
380,Donald Trump says US NUM million people work thats way high ,False,T
381,Bill Clinton GlassSteagall repeal nothing financial crisis ,Mostly True,T
382,John Kasich I took state Ohio NUM billion hole  NUM billion surplus ,Mostly True,T
383,Hillary Clinton says stock market done better Democratic presidents ,Mostly True,T
384,Donald Trump Black income unemployment worse ever ,False,T
385,Barack Obama tells Jon Stewart economy every metric better took office ,Mostly False,T
386,Hillary Clinton says called Wall Street regulations early financial crisis ,True,T
387,Bernie Sanders says real unemployment rate African American youth NUM percent ,Mostly True,T
388,Fiorina US destroying businesses creates first time history ,Half-True,T
389,Bernie Sanders says income inequality widest since NUMs ,Mostly True,T
390,Donald Trump Chevrolet Tokyo Japan doesnt exist ,Mostly False,T
391,Donald Trump says real unemployment rate NUM NUM percent ,False,T
392,Donald Trump gets claim US GDP doubly wrong ,Pants on Fire!,T
393,Martin OMalley says first time since WWII NUM us earn less NUM years ago ,Half-True,T
394,Marco Rubio says first time NUM years businesses dying starting ,True,T
395,Was Ronald Reagans record black unemployment better Barack Obamas ,Pants on Fire!,T
396,Hillary Clinton says hedge fund managers pay less taxes nurses truck drivers ,False,T
397,Labor Secretary Thomas Perez weighs incarcerations role innercity Baltimores bleak job picture ,Half-True,T
398,Carly Fiorina fights back HP layoff claims says doubled size company ,Mostly True,T
399,John Boehner We spend money antacids politics ,False,T
400,Jeb Bush correct median income fallen US since end recession ,True,T
401,Meme touts Mark Daytons economic successes governor Minnesota accurate ,Half-True,T
402,Martin OMalley says US seen falling wages NUM straight years ,Half-True,T
403,Ted Cruz Small business going business record numbers ,False,T
