Statement,Ruling,Economics (T/F)
"""Sen. Harry Reid says Sen. John McCain opposes 'don't ask, don't tell' due to economy""",Half-True,T
"""National Association of Manufacturers cites CBO support for job creation powers of full Bush tax cut extension""",Half-True,T
"""Kent Conrad says federal spending's share of GDP is at 60-year peak, tax revenues at 60-year low""",True,T
"""Rand Paul says federal spending has risen to 25 percent of GDP""",True,T
"""Rand Paul says federal workers paid $120,000, private-sector workers only $60,000""",False,T
"""Who's right on food inflation: Sarah Palin or the Wall Street Journal?""",Mostly False,T
"""Tim Kaine said economy shrank for the first time in '09""",Mostly False,T
"""Mike Prendergast mailer says Kathy Castor voted for $2.6 million to teach prostitutes in China to drink responsibly """,Pants on Fire!,T
"""President Barack Obama claims Mitch McConnell says his main goal is for GOP to regain the White House""",Half-True,T
"""Crossroads GPS says North Dakota's economy is 'reeling,' but is it?""",Pants on Fire!,T
"""Barack Obama says current financial recovery has been less expensive than S&L cleanup of '80s""",Half-True,T
"""Obama says most job losses occurred before his economic policies took hold""",True,T
"""Nancy Pelosi says more private sector jobs created in 2010 than in eight years under Bush""",Half-True,T
"""Mark Kirk campaign ads say Alexi Giannoulias lost $73 million in our kids college savings""",Half-True,T
"""Alexi Giannoulias attacks Mark Kirk on tax cuts, statements about military service and unemployment""",Mostly False,T
"""Christine O'Donnell claims Chris Coons has ""Marxist beliefs""""",Pants on Fire!,T
"""In debate, Chris Coons says Christine O'Donnell is wrong on county unemployment rate""",True,T
"""Adam Kinzinger says ""hundreds of thousands"" of Illinois jobs lost during Debbie Halvorson's career""",Half-True,T
"""Americans for Job Security targets Zack Space, other Dems on their agenda""",Half-True,T
"""Nancy Pelosi cites John Boehner in saying GOP plans return to old economic policies""",Pants on Fire!,T
"""""Mourning in America"" ad echoing Reagan classic gets its numbers right""",True,T
"""Obama says Bush administration put no conditions on aid to auto companies""",False,T
"""Obama too soft on Wall Street? Public worries about Wall Street's influence""",True,T
"""GOP rival says Nancy Pelosi's San Francisco office rent is over-the-rainbow high and downright wicked""",True,T
"""Obama says Boehner doesn't think jobs for teachers, police, firefighters are worth saving""",Mostly False,T
"""How similar were the recessions under Ronald Reagan, Barack Obama?""",Mostly True,T
"""Donna Brazile says 45 percent of unemployed have been jobless for at least six months""",Mostly True,T
"""Did the stimulus cost more than the war in Iraq?""",Mostly False,T
"""Laura Tyson says college grads have just 4.5 percent unemployment rate""",Mostly True,T
"""Maddow claims spending is more stimulative than tax cuts""",Half-True,T
"""Sharron Angle blames Harry Reid for Nevada economic woes""",Half-True,T
"""Lawmaker claims Democrats want to hit small businesses with tax increases""",Pants on Fire!,T
"""John Boehner says unemployment has exceeded 9 percent for two years running""",False,T
"""George Will says personal saving rate has increased during recession""",True,T
"""Barack Obama says his budget would lower non-defense spending to JFK levels""",Mostly True,T
"""Brazile claims income has grown for the top 1 percent; stagnates for the bottom half""",True,T
"""On ""Meet the Press"", David Gregory says financial sector equals 25 percent of U.S. economy""",Mostly False,T
"""Marc Morial correct on unemployment rates for whites, blacks, Latinos""",True,T
"""Lawmaker claims unemployment benefits boost economic growth""",Half-True,T
"""Geithner claims U.S. had six months of positive job growth in the private sector""",True,T
"""Joe Biden lauds Obama's job creation record""",Mostly True,T
"""Gillespie touts Bush record on taxes, job creation""",Mostly True,T
"""Senate candidate Mark Kirk says rival gave mobsters bank loans""",Half-True,T
"""Senor inflates Japan's interest payments""",False,T
"""Jerry Brown says California's not exactly the Golden state when it comes to credit ratings  """,True,T
"""Pelosi touts Democratic record on job creation""",Half-True,T
"""Critz touts Democratic role in low taxes, job creation""",Half-True,T
"""George Will pegs Sen. Bennett's loss to votes on TARP, stimulus, health care""",Mostly False,T
"""Will says Greece's economy is same size as Dallas-Fort Worth's""",True,T
"""CEO says GM has repaid government loans in full """,Half-True,T
"""Six largest banks getting bigger, Brown said""",True,T
"""Sherrod Brown says financial bill will end 'too-big-to-fail'""",Mostly False,T
"""Obama didn't expand offshore drilling, Boehner says""",Mostly False,T
"""Paul Ryan's federal dole statistics omit important details""",Mostly False,T
"""Bank bailouts not in bill, but liquidation is""",False,T
"""Bill Clinton takes credit for ""flowering"" of economy in 1990s""",Half-True,T
"""Sen. Richard Shelby overlooks safeguards in financial regulation bill""",False,T
"""New bill doesn't alter interest rate""",False,T
"""Foxx blames recession on Democratic Congressional takeover""",Pants on Fire!,T
"""Pelosi claims that health care reform will create thousands of jobs""",Half-True,T
"""Obama says stimulus is responsible for 2 million jobs saved or created""",Half-True,T
"""Boehner says unemployment will stay at 10 percent this year""",Mostly True,T
"""Stewart claims that the stimulus bill is one-third tax cuts""",Mostly True,T
"""Palin claims Biden held a transparency board meeting behind closed doors""",False,T
"""Gregg claims that TARP money must be used to pay down the deficit""",True,T
"""Obama criticizes Republicans who opposed stimulus, then claim credit for projects it funded""",True,T
"""Ron Paul claims money supply has doubled""",Mostly False,T
"""In PolitiFact debut, Brown says federal jobs pay twice as much as private sector jobs""",False,T
"""Obama inherited deficits from Bush administration""",Mostly True,T
"""Boehner claims Obama's proposed spending freeze will only reduce government spending ""by little more than one-half of 1 percent""""",True,T
"""Tax cut for 95 percent? The stimulus made it so""",True,T
"""Obama claims U.S. budget went from surplus to deficit in 10 years""",Mostly True,T
"""Obama claims 2 million more Americans would be unemployed if not for stimulus""",Half-True,T
"""Congresswoman says Democratic presidents create more private-sector jobs""",True,T
"""Beck says Chile easily tops U.S. in ""economic freedom"" rankings""",Mostly False,T
"""Obama says Congressional Budget Office found the economic stimulus has created up to 1.6 million jobs""",Half-True,T
"""Limbaugh says unemployment drop was skewed by Thanksgiving holiday""",False,T
"""Pence says Democrats' plan to spend TARP money on economic stimulus is unlawful""",Half-True,T
"""Obama said reporters didn't ask questions on the issues, but they did""",False,T
"""Beck says less than 10 percent of Obama Cabinet has worked in private sector""",False,T
"""Recovery.gov assigns statewide education jobs to one congressional district""",Mostly False,T
"""Nonexistent congressional districts were on Recovery.gov. They're gone now.""",Mostly True,T
"""Chain e-mail claims Obama closed offshore tax safe havens""",Half-True,T
"""Recovery.gov shows jobs in Congressional districts that don't exist""",Mostly False,T
"""Palin claims Reagan faced a worse recession than Obama""",False,T
"""Obama says job growth always lags behind economic growth""",True,T
"""Rush Limbaugh said bump in GDP due to Cash for Clunkers and government incentives to first-time home buyers""",Half-True,T
"""California Republican lumps Obama in with Hoover in his approach to fighting recession""",False,T
"""Freedom Project claims the deficit is the biggest in history  and that Democrats are to blame""",Half-True,T
"""Dobbs claims stimulus jobs cost big bucks""",Mostly True,T
"""Michael Moore claims in his movie, 'Capitalism,' that during the Reagan era, millions were thrown out of work """,Mostly False,T
"""Michael Moore claims in 'Capitalism' that during Reagan years, productivity went up while wages remained frozen """,Mostly True,T
"""Cokie Roberts says government accounts for 40 percent of GDP""",Mostly True,T
"""Michael Moore says young people are increasingly warm to socialism""",False,T
"""Michael Moore movie says that top 1 percent owns more financial wealth than bottom 95 percent""",Mostly True,T
"""Sowell claims stimulus was rushed through Congress in two days""",False,T
"""George Will claims the stimulus money will be spent slowly""",Mostly False,T
"""Michelle Malkin says former Clinton official says extending unemployment benefits is counterproductive""",Half-True,T
"""Rep. Steny Hoyer claims there were more job losses in Bush's last three months than last three under Obama""",Mostly True,T
"""Obama overstates tax relief to individuals and businesses""",Half-True,T
"""Bennett says stimulus is spending too much on road signs promoting stimulus""",Half-True,T
"""Palin claims that the cap-and-trade bill includes a $4.2 billion worker program""",Mostly True,T
"""Sen. Jon Kyl says only 6.8 percent of stimulus has been spent""",Mostly True,T
"""Vice President  Biden claims $174 billion of stimulus has been committed""",Mostly True,T
"""Cantor and other Republicans say Obama promised stimulus would keep unemployment rates below 8 percent""",Mostly False,T
"""Boehner claims city uses stimulus money to hire someone to apply for more stimulus money""",False,T
"""Boehner ad says stimulus paid for a Bridge to Rusty's""",Mostly False,T
"""Mitch McConnell's record distorted by Democratic campaign ad""",Mostly False,T
"""Bush tax cuts greater than health care? Probably.""",Mostly True,T
